Câu hỏi,Câu trả lời
Làm sao để đặt mua thuốc hoặc sản phẩm trên MediCare?,"Bạn tìm sản phẩm, chọn số lượng, bấm Thêm vào giỏ và Tiến hành thanh toán. Điền địa chỉ, chọn phương thức thanh toán, xác nhận đơn. Hệ thống sẽ gửi email/SMS xác nhận và cập nhật trạng thái đơn."
Tôi có cần tạo tài khoản để mua hàng không?,"Không bắt buộc. Bạn có thể mua nhanh không cần đăng nhập. Tuy nhiên, tạo tài khoản giúp lưu sổ địa chỉ, theo dõi đơn dễ hơn, tích điểm và nhận ưu đãi."
MediCare có giới hạn số lượng sản phẩm trong mỗi đơn hàng không?,"Có thể áp dụng giới hạn với một số nhóm sản phẩm (ví dụ: thuốc, sữa công thức, hàng khuyến mãi) để đảm bảo an toàn sử dụng và đủ hàng. Giới hạn hiển thị ngay trên trang sản phẩm/giỏ hàng."
"Sau khi đặt hàng, tôi có thể chỉnh sửa thông tin đơn không?","Có. Trong vòng 30 phút trước khi đơn được đóng gói, bạn hãy liên hệ Hỗ trợ khách hàng để cập nhật địa chỉ, số điện thoại hoặc ghi chú. Sau khi đơn đã bàn giao vận chuyển, chỉ có thể hỗ trợ hủy/đổi hướng theo chính sách của hãng vận chuyển."
Làm sao biết đơn hàng của tôi đã được xác nhận?,"Sau khi đặt, bạn nhận email/SMS xác nhận kèm mã đơn. Trạng thái cũng hiển thị tại mục Đơn hàng của tôi. Nếu không thấy thông báo sau 10-15 phút, vui lòng kiểm tra thư rác hoặc liên hệ hỗ trợ."
MediCare chấp nhận những hình thức thanh toán nào?,"COD (thanh toán khi nhận hàng), chuyển khoản ngân hàng, thẻ nội địa/quốc tế qua cổng thanh toán an toàn, và ví điện tử được hỗ trợ. Các lựa chọn hiển thị ở bước thanh toán."
Tôi có thể thanh toán khi nhận hàng (COD) không?,Có. COD áp dụng hầu hết khu vực. Một số địa chỉ/đơn giá trị cao có thể yêu cầu đặt cọc hoặc chuyển khoản theo chính sách rủi ro.
Nếu thanh toán chuyển khoản mà không nhận được xác nhận thì sao?,"Vui lòng chờ 10-15 phút. Nếu vẫn chưa cập nhật, hãy gửi biên lai chuyển khoản (ảnh/chụp màn hình) cho chúng tôi qua chat/email để kiểm tra và đối soát ngay."
MediCare có lưu thông tin thẻ hoặc tài khoản ngân hàng của khách hàng không?,Không. Thanh toán được xử lý qua đối tác đạt chuẩn bảo mật (ví dụ PCI-DSS). MediCare không lưu dữ liệu thẻ; chỉ lưu mã tham chiếu giao dịch khi cần đối soát.
Khi nào tôi nhận được hóa đơn điện tử của đơn hàng?,"Hóa đơn điện tử được phát hành sau khi đơn ở trạng thái Hoàn thành. Nếu cần xuất hóa đơn VAT, vui lòng nhập thông tin xuất hóa đơn tại bước thanh toán hoặc liên hệ hỗ trợ trong ngày mua."
MediCare giao hàng qua những đơn vị vận chuyển nào?,"Chúng tôi hợp tác với GHN, GHTK, Viettel Post và các đối tác uy tín khác. Đối tác hiển thị ở trang Theo dõi đơn và trong email xác nhận."
Thời gian giao hàng trung bình là bao lâu?,Nội thành lớn (Hà Nội/TP.HCM): 1-2 ngày làm việc; các tỉnh: 2-5 ngày. Hàng cần bảo quản lạnh/đặc thù có thể dài hơn để đảm bảo quy trình bảo quản.
Tôi có thể theo dõi trạng thái đơn hàng ở đâu?,"Vào Đơn hàng của tôi hoặc trang Theo dõi đơn, nhập mã đơn/mã vận đơn. Bạn cũng có thể theo dõi qua link trong email/SMS xác nhận."
MediCare có giao hàng toàn quốc không?,"Có, giao toàn quốc. Một số khu vực hải đảo/xa có thể phát sinh thời gian hoặc phí phụ thu theo quy định của hãng vận chuyển."
Phí vận chuyển được tính như thế nào?,"Phí dựa trên khối lượng/kích thước, địa chỉ nhận, phương thức vận chuyển và khung giờ. Hệ thống hiển thị phí chính xác tại bước thanh toán; thỉnh thoảng có chương trình miễn/giảm phí."
Khi nào tôi được phép đổi hoặc trả sản phẩm?,"Trong 7 ngày kể từ khi nhận hàng đối với sản phẩm còn nguyên tem/màng co, chưa mở nắp và đủ hóa đơn/phiếu giao. Thuốc kê đơn/ sản phẩm bảo quản lạnh không áp dụng trừ khi lỗi từ nhà sản xuất/nhà bán."
Tôi phải làm gì nếu nhận sai sản phẩm hoặc hàng bị lỗi?,Vui lòng chụp ảnh kiện hàng/sản phẩm nhận được trong vòng 48 giờ và liên hệ hỗ trợ. Chúng tôi sẽ xác minh và sắp xếp đổi mới/thu hồi với chi phí do MediCare chịu.
Bao lâu thì tôi nhận được tiền hoàn khi yêu cầu hoàn hàng thành công?,COD: hoàn qua chuyển khoản trong 1-3 ngày làm việc. Thẻ/ ví điện tử: hoàn về phương thức ban đầu trong 3-7 ngày (tùy ngân hàng/đơn vị trung gian).
MediCare có hoàn tiền qua ví điện tử hoặc tài khoản ngân hàng không?,"Có. Nguyên tắc là hoàn về đúng phương thức thanh toán ban đầu. Với COD, chúng tôi hoàn qua chuyển khoản ngân hàng theo thông tin bạn cung cấp."
Sản phẩm dược phẩm có được hoàn trả không nếu đã bóc tem?,"Không. Theo quy định an toàn, thuốc/TP chức năng đã mở nắp, bóc tem hoặc không còn nguyên vẹn niêm phong sẽ không được đổi trả, trừ trường hợp lỗi sản xuất hoặc thu hồi."
MediCare có bán thuốc kê đơn không?,"Có, nhưng chỉ bán khi có đơn thuốc hợp lệ từ bác sĩ. Bạn cần tải lên đơn thuốc khi đặt hàng hoặc xuất trình cho nhân viên giao nhận theo hướng dẫn."
Tôi cần gửi đơn thuốc cho sản phẩm nào?,Các mặt hàng gắn nhãn “Thuốc kê đơn (Rx)” hoặc có cảnh báo sẽ yêu cầu đơn thuốc. Trang sản phẩm sẽ hiển thị rõ yêu cầu này.
Làm sao kiểm tra hạn sử dụng hoặc nguồn gốc thuốc?,"Trang sản phẩm hiển thị hạn sử dụng ước tính/lot gần nhất, xuất xứ và nhà sản xuất. Sản phẩm giao luôn có HSD/lot rõ ràng trên bao bì để bạn kiểm tra khi nhận."
